id;sku;lot;name;auction_url;auction_end;current_auction_eur;auction_fee_rate_percent;auction_fees_eur;vat_status;vat_rate_percent;vat_eur;purchase_total_eur;photo_count;photos_reviewed;photos_reviewed_on;market_checked_on;quick_sale_lot_eur;normal_resale_gross_eur;recommended_max_bid_eur;recommended_max_bid_fees_eur;recommended_max_bid_vat_eur;recommended_max_purchase_total_eur;quick_margin_at_recommended_max_bid_eur;quick_margin_before_other_costs_eur;normal_margin_before_other_costs_eur;confidence_percent;demand;estimated_sale_days_min;estimated_sale_days_max;valuation_method;main_risks;device_checks;source_ids;source_titles;source_urls
302446;260633BR302446;281;Lot de 11 ordinateurs portables TOSHIBA R40;https://encheres-domaine.gouv.fr/lot/lotde11pcportabletoshiba-1.html;2026-09-17T08:00:00+00:00;260.0;11.0;28.6;non_mentionnee;;0.0;288.6;1;True;2026-09-12;2026-09-12;495;825;295;32.45;0.0;327.45;167.55;206.4;536.4;67;faible;30;120;"45 EUR/unité en lot; 75 EUR/unité après test et nettoyage.";Core i3 de génération non précisée, HDD 500 Go, batterie inconnue.;[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
302443;260633BR302443;282;Lot de 20 ordinateurs portables TOSHIBA R40;https://encheres-domaine.gouv.fr/lot/lotde20pcportabletoshiba-1.html;2026-09-17T08:00:00+00:00;500.0;11.0;55.0;non_mentionnee;;0.0;555.0;2;True;2026-09-12;2026-09-12;900;1500;540;59.4;0.0;599.4;300.6;345.0;945.0;67;faible;30;120;"45 EUR/unité en lot; 75 EUR/unité après test et nettoyage.";Core i3 de génération non précisée, HDD 500 Go, batterie inconnue.;[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
302442;260633BR302442;283;Lot de 6 ordinateurs portables DYNABOOK Satellite Pro C40;https://encheres-domaine.gouv.fr/lot/lotde6pcportabledynabook-1.html;2026-09-17T08:00:00+00:00;200.0;11.0;22.0;non_mentionnee;;0.0;222.0;3;True;2026-09-12;2026-09-12;600;960;365;40.15;0.0;405.15;194.85;378.0;738.0;72;moyenne;14;60;"100 EUR/unité en lot; 160 EUR/unité testée avec chargeur et sacoche.";État batterie et génération exacte du Core i3 à confirmer.;[];market_dynabook_c40;"[""Dynabook C40-H/C40-J d'occasion — Fnac et eBay""]";https://www.fnac.com/mp45752415/Dynabook-Toshiba-Satellite-Pro-C40-H-115-Intel-Core-i3-1005G1-1-2-GHz-Win-10-Familiale-64-bits-UHD-Graphics-8-Go-RAM-256-Go-SSD-14-1920-x-1080-Full-HD-Wi-Fi-5-bleu-fonce-noir-clavier/w-4
302440;260633BR302440;284;Lot de 17 ordinateurs portables DYNABOOK Satellite Pro C40;https://encheres-domaine.gouv.fr/lot/lotde17pcportabledynabook-1.html;2026-09-17T08:00:00+00:00;1000.0;11.0;110.0;non_mentionnee;;0.0;1110.0;3;True;2026-09-12;2026-09-12;1700;2720;1040;114.4;0.0;1154.4;545.6;590.0;1610.0;72;moyenne;14;75;"100 EUR/unité en lot; 160 EUR/unité testée avec chargeur/sacoche.";"État batteries non documenté; forte quantité du même modèle sur le marché local.";[];market_dynabook_c40;"[""Dynabook C40-H/C40-J d'occasion — Fnac et eBay""]";https://www.fnac.com/mp45752415/Dynabook-Toshiba-Satellite-Pro-C40-H-115-Intel-Core-i3-1005G1-1-2-GHz-Win-10-Familiale-64-bits-UHD-Graphics-8-Go-RAM-256-Go-SSD-14-1920-x-1080-Full-HD-Wi-Fi-5-bleu-fonce-noir-clavier/w-4
302439;260633BR302439;285;Lot de 20 ordinateurs portables DYNABOOK Satellite Pro C40;https://encheres-domaine.gouv.fr/lot/lotde20pcportabledynabook-sacoches-1.html;2026-09-17T08:00:00+00:00;1200.0;11.0;132.0;non_mentionnee;;0.0;1332.0;4;True;2026-09-12;2026-09-12;2000;3200;1225;134.75;0.0;1359.75;640.25;668.0;1868.0;72;moyenne;14;75;"100 EUR/unité en lot; 160 EUR/unité testée avec chargeur/sacoche.";"État batteries non documenté; forte quantité du même modèle sur le marché local.";[];market_dynabook_c40;"[""Dynabook C40-H/C40-J d'occasion — Fnac et eBay""]";https://www.fnac.com/mp45752415/Dynabook-Toshiba-Satellite-Pro-C40-H-115-Intel-Core-i3-1005G1-1-2-GHz-Win-10-Familiale-64-bits-UHD-Graphics-8-Go-RAM-256-Go-SSD-14-1920-x-1080-Full-HD-Wi-Fi-5-bleu-fonce-noir-clavier/w-4
302437;260633BR302437;286;Lot de 21 ordinateurs  portables  DYNABOOK Satellite Pro C40;https://encheres-domaine.gouv.fr/lot/lotde21pcportabledynabook-sacoches-1.html;2026-09-17T08:00:00+00:00;600.0;11.0;66.0;non_mentionnee;;0.0;666.0;3;True;2026-09-12;2026-09-12;1680;2940;1040;114.4;0.0;1154.4;525.6;1014.0;2274.0;75;moyenne;14;75;"80 EUR/unité en lot; 140 EUR/unité testée pour le C40-H-115, sous le comparable reconditionné à 149 EUR.";Génération plus ancienne et état batteries non documenté.;[];market_dynabook_c40;"[""Dynabook C40-H/C40-J d'occasion — Fnac et eBay""]";https://www.fnac.com/mp45752415/Dynabook-Toshiba-Satellite-Pro-C40-H-115-Intel-Core-i3-1005G1-1-2-GHz-Win-10-Familiale-64-bits-UHD-Graphics-8-Go-RAM-256-Go-SSD-14-1920-x-1080-Full-HD-Wi-Fi-5-bleu-fonce-noir-clavier/w-4
302436;260633BR302436;287;Lot de 11 ordinateurs portables DYNABOOK  Satellite Pro C40;https://encheres-domaine.gouv.fr/lot/lotde11pcportabledynabook-sacoches-1.html;2026-09-17T08:00:00+00:00;650.0;11.0;71.5;non_mentionnee;;0.0;721.5;4;True;2026-09-12;2026-09-12;1100;1760;670;73.7;0.0;743.7;356.3;378.5;1038.5;72;moyenne;14;75;"100 EUR/unité en lot; 160 EUR/unité testée avec chargeur/sacoche.";"État batteries non documenté; forte quantité du même modèle sur le marché local.";[];market_dynabook_c40;"[""Dynabook C40-H/C40-J d'occasion — Fnac et eBay""]";https://www.fnac.com/mp45752415/Dynabook-Toshiba-Satellite-Pro-C40-H-115-Intel-Core-i3-1005G1-1-2-GHz-Win-10-Familiale-64-bits-UHD-Graphics-8-Go-RAM-256-Go-SSD-14-1920-x-1080-Full-HD-Wi-Fi-5-bleu-fonce-noir-clavier/w-4
302434;260633BR302434;288;Lot de 19 ordinateurs portables DYNABOOK;https://encheres-domaine.gouv.fr/lot/lotde19pcportabledynabook-sacoches-1.html;2026-09-17T08:00:00+00:00;1100.0;11.0;121.0;non_mentionnee;;0.0;1221.0;4;True;2026-09-12;2026-09-12;1900;3040;1160;127.6;0.0;1287.6;612.4;679.0;1819.0;72;moyenne;14;75;"100 EUR/unité en lot; 160 EUR/unité testée avec chargeur/sacoche.";"État batteries non documenté; forte quantité du même modèle sur le marché local.";[];market_dynabook_c40;"[""Dynabook C40-H/C40-J d'occasion — Fnac et eBay""]";https://www.fnac.com/mp45752415/Dynabook-Toshiba-Satellite-Pro-C40-H-115-Intel-Core-i3-1005G1-1-2-GHz-Win-10-Familiale-64-bits-UHD-Graphics-8-Go-RAM-256-Go-SSD-14-1920-x-1080-Full-HD-Wi-Fi-5-bleu-fonce-noir-clavier/w-4
302433;260633BR302433;289;Lot de 16 ordinateurs portables DYNABOOK  Satellite Pro C40;https://encheres-domaine.gouv.fr/lot/lotde16pcportabledynabook-sacoches-1.html;2026-09-17T08:00:00+00:00;950.0;11.0;104.5;non_mentionnee;;0.0;1054.5;4;True;2026-09-12;2026-09-12;1600;2560;980;107.8;0.0;1087.8;512.2;545.5;1505.5;72;moyenne;14;75;"100 EUR/unité en lot; 160 EUR/unité testée avec chargeur/sacoche.";"État batteries non documenté; forte quantité du même modèle sur le marché local.";[];market_dynabook_c40;"[""Dynabook C40-H/C40-J d'occasion — Fnac et eBay""]";https://www.fnac.com/mp45752415/Dynabook-Toshiba-Satellite-Pro-C40-H-115-Intel-Core-i3-1005G1-1-2-GHz-Win-10-Familiale-64-bits-UHD-Graphics-8-Go-RAM-256-Go-SSD-14-1920-x-1080-Full-HD-Wi-Fi-5-bleu-fonce-noir-clavier/w-4
302432;260633BR302432;290;Lot de 10 ordinateurs portables DYNABOOK Satellite Pro C40;https://encheres-domaine.gouv.fr/lot/lotde10pcportabledynabook-1.html;2026-09-17T08:00:00+00:00;600.0;11.0;66.0;non_mentionnee;;0.0;666.0;4;True;2026-09-12;2026-09-12;1000;1600;610;67.1;0.0;677.1;322.9;334.0;934.0;72;moyenne;14;75;"100 EUR/unité en lot; 160 EUR/unité testée avec chargeur/sacoche.";"État batteries non documenté; forte quantité du même modèle sur le marché local.";[];market_dynabook_c40;"[""Dynabook C40-H/C40-J d'occasion — Fnac et eBay""]";https://www.fnac.com/mp45752415/Dynabook-Toshiba-Satellite-Pro-C40-H-115-Intel-Core-i3-1005G1-1-2-GHz-Win-10-Familiale-64-bits-UHD-Graphics-8-Go-RAM-256-Go-SSD-14-1920-x-1080-Full-HD-Wi-Fi-5-bleu-fonce-noir-clavier/w-4
302420;260633BR302420;291;Lot de 59 PC fixes;https://encheres-domaine.gouv.fr/lot/lotde59pcfixes-1.html;2026-09-17T08:00:00+00:00;300.0;11.0;33.0;non_mentionnee;;0.0;333.0;6;True;2026-09-12;2026-09-12;3500;6000;2030;223.3;0.0;2253.3;1246.7;3167.0;5667.0;58;faible;45;180;Valorisation moyenne 60-100 EUR par tour selon configuration, avec décote logistique.;CPU/RAM/stockage non détaillés, câbles absents, transport de 59 unités.;[];bm_e595;"[""Lenovo ThinkPad E595 Ryzen 5 16/256 — Back Market""]";https://www.backmarket.fr/fr-fr/p/lenovo-e595-15-ryzen-5-3500u-ghz-ssd-256-go-16-go/7c3dcefc-9ebf-48df-8d27-50ff8082cddb
338394;260833BA338394;300;Trottinette électrique WISPEED X1030;https://encheres-domaine.gouv.fr/lot/trottinette-electrique-wispeed-x1030.html;2026-09-17T08:00:00+00:00;40.0;11.0;4.4;non_mentionnee;;0.0;44.4;10;True;2026-09-12;2026-09-12;120;220;70;7.7;0.0;77.7;42.3;75.6;175.6;69;moyenne;14;60;Valeur d'une X1030 non testée avec petit défaut mécanique, contre une revente testée.;"Batterie et moteur non testés; vis de guidon manquante; transport contraignant.";[];;[];
300850;260433BA270842;302;Drone DJI Matrice 210;https://encheres-domaine.gouv.fr/lot/drone-dji-matrice-210-1.html;2026-09-17T08:00:00+00:00;1000.0;11.0;110.0;non_mentionnee;;0.0;1110.0;11;True;2026-09-12;2026-09-12;1800;3000;1035;113.85;0.0;1148.85;651.15;690.0;1890.0;56;faible;45;240;"Plateforme M210, Cendence, écran, batteries et valise; décote forte car sans caméra/payload récent.";Ancienne plateforme entreprise, batteries TB55 vieillissantes, aucune caméra Zenmuse listée, marché étroit.;[];;[];
297104;260633BA297104;304;TV LG et console de jeu SONY PS5;https://encheres-domaine.gouv.fr/lot/lot-tv-lg-et-console-de-jeu-ps5.html;2026-09-17T08:00:00+00:00;100.0;11.0;11.0;non_mentionnee;;0.0;111.0;3;True;2026-09-12;2026-09-12;250;420;150;16.5;0.0;166.5;83.5;139.0;309.0;70;forte;7;30;"PS5 et deux manettes dominent la valeur; TV LG endommagée presque sans valeur.";"PS5 non testée et sans câble; TV rayée et pieds défectueux.";[];lbc_ps5,lbc_ps5_bundles;"[""Console Sony PS5 d'occasion — leboncoin"", ""PS5 avec jeux et manettes — leboncoin""]";https://www.leboncoin.fr/c/consoles/console_brand%3Asony%2Bconsole_model%3Aps5 | https://www.leboncoin.fr/ck/consoles/ps5-jeux-manettes
297230;260633BA297230;305;Lot TV SONY, console de jeu SONY PS4 et jeux vidéos;https://encheres-domaine.gouv.fr/lot/lot-tv-sony-console-de-jeu-ps4-et-jeux-videos.html;2026-09-17T08:00:00+00:00;80.0;11.0;8.8;non_mentionnee;;0.0;88.8;7;True;2026-09-12;2026-09-12;220;350;130;14.3;0.0;144.3;75.7;131.2;261.2;66;moyenne;14;60;PS4, deux manettes, home-cinéma et 17 jeux anciens valorisés séparément.;"Jeux de plateformes différentes; TV ancienne sans télécommande.";[];lbc_ps5_bundles;"[""PS5 avec jeux et manettes — leboncoin""]";https://www.leboncoin.fr/ck/consoles/ps5-jeux-manettes
324131;260733BA324131;306;Lot TV et consoles de jeux;https://encheres-domaine.gouv.fr/lot/lot-tv-et-consoles-de-jeux.html;2026-09-17T08:00:00+00:00;50.0;11.0;5.5;non_mentionnee;;0.0;55.5;4;True;2026-09-12;2026-09-12;300;520;180;19.8;0.0;199.8;100.2;244.5;464.5;67;moyenne;14;60;PS4, Xbox One S et TV 55 pouces, avec décote de lot encombrant.;"Deux consoles non testées; TV sans télécommande; enlèvement local.";[];lbc_ps5_bundles,lbc_xbox_s;"[""PS5 avec jeux et manettes — leboncoin"", ""Xbox Series S d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/consoles/ps5-jeux-manettes | https://www.leboncoin.fr/c/consoles/console_brand%3Amicrosoft%2Bconsole_model%3Axboxseriess%2Bvideo_game_type%3Aconsole
324273;260733BA324273;307;Lot TV SAMSUNG et consoles de jeux;https://encheres-domaine.gouv.fr/lot/lot-tv-samsung-et-console-de-jeux.html;2026-09-17T08:00:00+00:00;50.0;11.0;5.5;non_mentionnee;;0.0;55.5;4;True;2026-09-12;2026-09-12;280;500;165;18.15;0.0;183.15;96.85;224.5;444.5;64;moyenne;14;75;Deux PS4 et deux manettes représentent l'essentiel de la valeur.;"Consoles non testées; TV rayée et encombrante.";[];lbc_ps5_bundles;"[""PS5 avec jeux et manettes — leboncoin""]";https://www.leboncoin.fr/ck/consoles/ps5-jeux-manettes
324364;260733BA324364;308;Lot TV LG et console de jeux;https://encheres-domaine.gouv.fr/lot/lot-tv-lg-et-console-de-jeux.html;2026-09-17T08:00:00+00:00;30.0;11.0;3.3;non_mentionnee;;0.0;33.3;4;True;2026-09-12;2026-09-12;150;260;90;9.9;0.0;99.9;50.1;116.7;226.7;68;moyenne;14;60;"PS4 avec manette; TV décotée pour défaut de dalle.";"Console non testée; ligne verticale de pixels sur la TV.";[];lbc_ps5_bundles;"[""PS5 avec jeux et manettes — leboncoin""]";https://www.leboncoin.fr/ck/consoles/ps5-jeux-manettes
324538;260733BA324538;309;Lot TV SAMSUNG et console de jeux;https://encheres-domaine.gouv.fr/lot/lot-tv-samsung-et-console-de-jeux-doo-1.html;2026-09-17T08:00:00+00:00;30.0;11.0;3.3;non_mentionnee;;0.0;33.3;3;True;2026-09-12;2026-09-12;170;300;100;11.0;0.0;111.0;59.0;136.7;266.7;67;moyenne;14;60;"PS4, deux manettes et casque; TV ancienne fortement décotée.";Ensemble non testé, câble console absent, TV rayée.;[];lbc_ps5_bundles;"[""PS5 avec jeux et manettes — leboncoin""]";https://www.leboncoin.fr/ck/consoles/ps5-jeux-manettes
297974;260633BA297974;310;Lot informatique : écran, unité centrale et accessoires;https://encheres-domaine.gouv.fr/lot/lot-informatique-ecran-unite-centrale-et-accessoires.html;2026-09-17T08:00:00+00:00;80.0;11.0;8.8;non_mentionnee;;0.0;88.8;8;True;2026-09-12;2026-09-12;400;800;225;24.75;0.0;249.75;150.25;311.2;711.2;54;moyenne;21;90;Écran gaming, tour inconnue, manette Astro C40, disques LaCie et petit matériel.;"CPU/RAM de la tour inconnus; tout est non testé; nombreuses petites pièces lentes à écouler.";[];;[];
302000;260633BA302000;311;APPLE iPhone 16 et batterie externe;https://encheres-domaine.gouv.fr/lot/apple-iphone-16-doo-1.html;2026-09-17T08:00:00+00:00;80.0;11.0;8.8;non_mentionnee;;0.0;88.8;6;True;2026-09-12;2026-09-12;160;300;90;9.9;0.0;99.9;60.1;71.2;211.2;58;moyenne;21;90;"La photo montre l'iPhone 16 allumé et la description confirme un 128 Go, mais le fonctionnement complet et l'activation restent inconnus; cote prudente d'état/pièces, plus la batterie externe.";"Aucun IMEI publié; un écran allumé ne prouve pas l'absence de verrouillage, ni l'état de la batterie, de Face ID ou des composants.";"[{""device"": ""iPhone 16 128 Go"", ""imei_suffix"": null, ""imei_count"": 0, ""find_my_iphone"": ""INCONNU"", ""verification_basis"": ""description_only"", ""checked_on"": null, ""source"": ""Aucun IMEI publié — analyse de la description et des photos"", ""valuation_effect"": ""Cote prudente fondée sur l'état annoncé et les pièces récupérables ; l'absence de verrouillage n'est pas supposée.""}]";lbc_iphone16,lbc_iphone_locked_parts;"[""iPhone 16 128 Go d'occasion — leboncoin"", ""iPhone bloqués et pour pièces — leboncoin""]";https://www.leboncoin.fr/c/telephones_objets_connectes/phone_brand%3Aapple%2Bphone_memory%3A128go%2Bphone_model%3Aiphone16 | https://www.leboncoin.fr/ck/telephones_objets_connectes/bloque
296119;260633BA296119;312;Lot APPLE;https://encheres-domaine.gouv.fr/lot/lot-apple-doo-4.html;2026-09-17T08:00:00+00:00;20.0;11.0;2.2;non_mentionnee;;0.0;22.2;10;True;2026-09-12;2026-09-12;160;300;85;9.35;0.0;94.35;65.65;137.8;277.8;48;moyenne;30;150;"Valeur des pièces récupérables du MacBook, des trois iPad mini et de l'iPhone X/XS dont l'écran est annoncé HS; aucun statut d'activation n'est inventé.";Écrans HS, modèles/capacités incomplets, aucun IMEI ni chargeur et tout non testé.;"[{""device"": ""iPhone X ou XS, écran HS"", ""imei_suffix"": null, ""imei_count"": 0, ""find_my_iphone"": ""INCONNU"", ""verification_basis"": ""description_only"", ""checked_on"": null, ""source"": ""Aucun IMEI publié — analyse de la description et des photos"", ""valuation_effect"": ""Cote prudente fondée sur l'état annoncé et les pièces récupérables ; l'absence de verrouillage n'est pas supposée.""}, {""device"": ""3 iPad mini, écrans HS"", ""imei_suffix"": null, ""imei_count"": 0, ""find_my_iphone"": ""INCONNU"", ""verification_basis"": ""description_only"", ""checked_on"": null, ""source"": ""Aucun IMEI publié — analyse de la description et des photos"", ""valuation_effect"": ""Cote prudente fondée sur l'état annoncé et les pièces récupérables ; l'absence de verrouillage n'est pas supposée.""}]";lbc_macbook_m1;"[""MacBook Air M1 A2337 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/macbook-air-a2337
324620;260733BA324620;313;Lot multimédia;https://encheres-domaine.gouv.fr/lot/lot-multimedia-doo-6.html;2026-09-17T08:00:00+00:00;50.0;11.0;5.5;non_mentionnee;;0.0;55.5;4;True;2026-09-12;2026-09-12;180;340;100;11.0;0.0;111.0;69.0;124.5;284.5;59;moyenne;14;75;AirPods Pro, deux Jabra Elite 5 et deux anciennes GoPro valorisés après test.;Authenticité, batteries et fonctionnement non vérifiés.;[];lbc_gopro10;"[""GoPro Hero 10 Black d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/photo_audio_video/gopro-10-black
340395;260833BA340395;314;Lot de casques de musique LOGITECH;https://encheres-domaine.gouv.fr/lot/lot-de-casque-de-musique-logitech.html;2026-09-17T08:00:00+00:00;200.0;11.0;22.0;non_mentionnee;;0.0;222.0;8;True;2026-09-12;2026-09-12;600;950;375;41.25;0.0;416.25;183.75;378.0;728.0;78;moyenne;21;120;"Environ 21 EUR/unité pour écoulement en lot; 34 EUR/unité en ventes séparées.";"28 unités non testées; risque de retours; concurrence élevée malgré emballages.";[];lbc_g435;"[""Logitech G435 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/photo_audio_video/casque-g435
